"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",2022-10-19,2022-10-26,2022-11-02,2022-11-09,2022-11-16,2022-11-23,2022-11-30,2022-12-07,2022-12-14,2022-12-21,2022-12-28,2023-01-04,2023-01-11,2023-01-18,2023-01-25,2023-02-01,2023-02-08,2023-02-15,2023-02-22,2023-03-01
"Bank credit, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1001NCBD,B1001NCBD,17304161.0,17332055.0,17382012.0,17376849.0,17407792.0,17435851.0,17481264.0,17560037.0,17569065.0,17588887.0,17595585.0,17571103.0,17534653.0,17542388.0,17538777.0,17594210.0,17553832.0,17542895.0,17525210.0,17504248.0
"Securities in bank credit, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1002NCBD,B1002NCBD,5547014.0,5546651.0,5544194.0,5536640.0,5552271.0,5546283.0,5555223.0,5562072.0,5531964.0,5505284.0,5499601.0,5505146.0,5512436.0,5517420.0,5508148.0,5530138.0,5513563.0,5495410.0,5489250.0,5462171.0
"Treasury and agency securities, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1003NCBD,B1003NCBD,4461805.0,4464279.0,4465623.0,4459077.0,4469985.0,4465742.0,4472764.0,4480956.0,4451462.0,4434099.0,4424227.0,4395743.0,4399220.0,4412319.0,4406048.0,4422559.0,4407877.0,4393489.0,4391395.0,4372969.0
"Treasury and agency securities: Mortgage-backed securities (MBS), all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1301NCBD,B1301NCBD,2787640.0,2785681.0,2783359.0,2772894.0,2780352.0,2787277.0,2796052.0,2803227.0,2783923.0,2779338.0,2772216.0,2743473.0,2740687.0,2753424.0,2743067.0,2762458.0,2752661.0,2754139.0,2755727.0,2744894.0
"Treasury and agency securities: Non-MBS, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1302NCBD,B1302NCBD,1674165.0,1678598.0,1682264.0,1686183.0,1689633.0,1678465.0,1676712.0,1677729.0,1667539.0,1654761.0,1652011.0,1652270.0,1658533.0,1658895.0,1662981.0,1660101.0,1655216.0,1639350.0,1635668.0,1628075.0
"Other securities, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1011NCBD,B1011NCBD,1085209.0,1082372.0,1078571.0,1077563.0,1082286.0,1080541.0,1082459.0,1081116.0,1080502.0,1071185.0,1075374.0,1109403.0,1113216.0,1105101.0,1102100.0,1107579.0,1105686.0,1101921.0,1097855.0,1089202.0
"Other securities: Mortgage-backed securities, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1303NCBD,B1303NCBD,112937.0,112088.0,112600.0,112334.0,112710.0,112229.0,112179.0,110282.0,109350.0,108815.0,108427.0,108889.0,108637.0,108734.0,108925.0,109581.0,109605.0,109410.0,109200.0,108925.0
"Other securities: Non-MBS, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1304NCBD,B1304NCBD,972272.0,970284.0,965971.0,965229.0,969576.0,968312.0,970280.0,970834.0,971152.0,962370.0,966947.0,1000514.0,1004579.0,996367.0,993175.0,997998.0,996081.0,992511.0,988655.0,980277.0
"Loans and leases in bank credit, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1020NCBD,B1020NCBD,11757147.0,11785404.0,11837818.0,11840209.0,11855521.0,11889568.0,11926041.0,11997965.0,12037101.0,12083603.0,12095984.0,12065957.0,12022217.0,12024968.0,12030629.0,12064072.0,12040269.0,12047485.0,12035960.0,12042077.0
"Commercial and industrial loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1023NCBD,B1023NCBD,2749527.0,2752016.0,2773721.0,2779109.0,2782975.0,2800751.0,2792209.0,2797825.0,2811861.0,2826837.0,2832771.0,2823034.0,2811288.0,2817520.0,2819019.0,2827561.0,2820060.0,2820607.0,2817122.0,2822057.0
"Real estate loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1026NCBD,B1026NCBD,5210937.0,5223398.0,5237007.0,5245856.0,5245814.0,5256632.0,5268200.0,5331423.0,5338878.0,5353476.0,5356892.0,5356394.0,5358444.0,5361858.0,5367297.0,5371677.0,5375741.0,5381905.0,5385729.0,5383560.0
"Real estate loans: Residential real estate loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1221NCBD,B1221NCBD,2443695.0,2449024.0,2453657.0,2458906.0,2457433.0,2462690.0,2466789.0,2475737.0,2477223.0,2483538.0,2482557.0,2484967.0,2487936.0,2487004.0,2487486.0,2486792.0,2488640.0,2490030.0,2490058.0,2488773.0
"Real estate loans: Residential real estate loans: Revolving home equity loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1027NCBD,B1027NCBD,253973.0,254082.0,254171.0,254115.0,254051.0,253968.0,254339.0,255339.0,255693.0,256480.0,256461.0,255731.0,255176.0,255028.0,254941.0,254705.0,254505.0,253925.0,253951.0,253501.0
"Real estate loans: Residential real estate loans: Closed-end residential loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1220NCBD,B1220NCBD,2189722.0,2194942.0,2199486.0,2204791.0,2203382.0,2208722.0,2212450.0,2220398.0,2221530.0,2227058.0,2226096.0,2229236.0,2232760.0,2231976.0,2232545.0,2232087.0,2234135.0,2236105.0,2236107.0,2235272.0
"Real estate loans: Commercial real estate loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3219NCBD,B3219NCBD,2767242.0,2774374.0,2783350.0,2786950.0,2788381.0,2793942.0,2801411.0,2855686.0,2861655.0,2869938.0,2874335.0,2871427.0,2870508.0,2874854.0,2879811.0,2884885.0,2887101.0,2891875.0,2895671.0,2894787.0
"Real estate loans: Commercial real estate loans: Construction and land development loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1215NCBD,B1215NCBD,433136.0,435692.0,438091.0,439727.0,441209.0,442954.0,444032.0,447411.0,449383.0,450219.0,451084.0,450105.0,452324.0,454057.0,456190.0,456383.0,457737.0,459051.0,460702.0,460973.0
"Real estate loans: Commercial real estate loans: Secured by farmland, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1216NCBD,B1216NCBD,109915.0,110198.0,110204.0,110418.0,110452.0,110490.0,110800.0,110867.0,110821.0,111170.0,111729.0,111592.0,111320.0,111399.0,111288.0,111256.0,111294.0,111407.0,111446.0,111426.0
"Real estate loans: Commercial real estate loans: Secured by multifamily properties, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1217NCBD,B1217NCBD,518881.0,519859.0,520187.0,521111.0,522014.0,523474.0,525596.0,565108.0,566842.0,569186.0,570055.0,565153.0,567820.0,568895.0,570547.0,572733.0,572775.0,573732.0,574103.0,574354.0
"Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1218NCBD,B1218NCBD,1705310.0,1708625.0,1714868.0,1715694.0,1714706.0,1717024.0,1720983.0,1732300.0,1734609.0,1739363.0,1741467.0,1744577.0,1739044.0,1740503.0,1741786.0,1744513.0,1745295.0,1747685.0,1749420.0,1748034.0
"Consumer loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1029NCBD,B1029NCBD,1822672.0,1831698.0,1832251.0,1828438.0,1826285.0,1836912.0,1858465.0,1856194.0,1864256.0,1869833.0,1874831.0,1866868.0,1857736.0,1854095.0,1855071.0,1854578.0,1847695.0,1847082.0,1848543.0,1839297.0
"Consumer loans: Credit cards and other revolving plans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1247NCBD,B1247NCBD,920375.0,930438.0,931152.0,927829.0,927970.0,937456.0,958181.0,957158.0,964909.0,971754.0,979645.0,973260.0,964471.0,960978.0,961006.0,960036.0,954924.0,953822.0,955689.0,947867.0
"Consumer loans: Other consumer loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3248NCBD,B3248NCBD,902297.0,901260.0,901099.0,900609.0,898315.0,899456.0,900284.0,899036.0,899347.0,898079.0,895186.0,893608.0,893265.0,893117.0,894065.0,894542.0,892771.0,893260.0,892854.0,891430.0
"Consumer loans: Other consumer loans: Automobile loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1243NCBD,B1243NCBD,525860.0,525566.0,525231.0,524649.0,523244.0,524592.0,524233.0,523325.0,523180.0,522823.0,518926.0,518499.0,518489.0,518187.0,518579.0,518598.0,517957.0,517922.0,517782.0,516706.0
"Consumer loans: Other consumer loans: All other consumer loans, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1245NCBD,B1245NCBD,376437.0,375694.0,375868.0,375960.0,375071.0,374864.0,376051.0,375711.0,376167.0,375256.0,376260.0,375109.0,374776.0,374930.0,375486.0,375944.0,374814.0,375338.0,375072.0,374724.0
"Other loans and leases: All other loans and leases, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3305NCBD,B3305NCBD,1974011.0,1978292.0,1994839.0,1986806.0,2000447.0,1995273.0,2007167.0,2012523.0,2022106.0,2033457.0,2031490.0,2019661.0,1994749.0,1991495.0,1989242.0,2010256.0,1996773.0,1997891.0,1984566.0,1997163.0
"Other loans and leases: All other loans and leases: Loans to nondepository financial institutions, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1030NCBD,B1030NCBD,874294.0,875646.0,890652.0,886121.0,892627.0,893605.0,903152.0,904761.0,912059.0,916247.0,915960.0,909561.0,898587.0,895238.0,887507.0,894455.0,890304.0,891169.0,890035.0,901307.0
"Other loans and leases: All other loans and leases: Other loans not elsewhere classified, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1310NCBD,B1310NCBD,1099717.0,1102646.0,1104187.0,1100685.0,1107820.0,1101668.0,1104015.0,1107762.0,1110047.0,1117210.0,1115530.0,1110100.0,1096162.0,1096257.0,1101735.0,1115801.0,1106469.0,1106722.0,1094531.0,1095856.0
"LESS: Allowance for loan and lease losses, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1043NCBD,B1043NCBD,167184.0,167164.0,168441.0,168292.0,168045.0,168327.0,167691.0,169683.0,169649.0,169519.0,169468.0,173467.0,175419.0,175375.0,175302.0,175101.0,175302.0,175367.0,175321.0,174875.0
