"Series Description","Bank credit, all commercial banks, seasonally adjusted","Securities in bank credit, all commercial banks, seasonally adjusted","Treasury and agency securities, all commercial banks, seasonally adjusted","Treasury and agency securities: Mortgage-backed securities (MBS), all commercial banks, seasonally adjusted","Treasury and agency securities: Non-MBS, all commercial banks, seasonally adjusted","Other securities, all commercial banks, seasonally adjusted","Other securities: Mortgage-backed securities, all commercial banks, seasonally adjusted","Other securities: Non-MBS, all commercial banks, seasonally adjusted","Loans and leases in bank credit, all commercial banks, seasonally adjusted","Commercial and industrial loans, all commercial banks, seasonally adjusted","Real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans: Revolving home equity loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans: Closed-end residential loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Construction and land development loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by farmland, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by multifamily properties, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties, all commercial banks, seasonally adjusted","Consumer loans, all commercial banks, seasonally adjusted","Consumer loans: Credit cards and other revolving plans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans: Automobile loans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans: All other consumer loans, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases: Loans to nondepository financial institutions, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases: Other loans not elsewhere classified, all commercial banks, seasonally adjusted","LESS: Allowance for loan and lease losses, all commercial banks, seasonally adjusted","Cash assets, all commercial banks, seasonally adjusted","Total fed funds sold and securities purchased under agreements to resell, all commercial banks, seasonally adjusted","Loans to commercial banks, all commercial banks, seasonally adjusted","Other assets, all commercial banks, seasonally adjusted","Total assets, all commercial banks, seasonally adjusted","Deposits, all commercial banks, seasonally adjusted","Large time deposits, all commercial banks, seasonally adjusted","Other deposits, all commercial banks, seasonally adjusted","Borrowings, all commercial banks, seasonally adjusted","Net due to related foreign offices, all commercial banks, seasonally adjusted","Other liabilities, all commercial banks, seasonally adjusted","Total liabilities, all commercial banks, seasonally adjusted","Residual (assets less liabilities), all commercial banks, seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H8/H8/B1001NCBA","H8/H8/B1002NCBA","H8/H8/B1003NCBA","H8/H8/B1301NCBA","H8/H8/B1302NCBA","H8/H8/B1011NCBA","H8/H8/B1303NCBA","H8/H8/B1304NCBA","H8/H8/B1020NCBA","H8/H8/B1023NCBA","H8/H8/B1026NCBA","H8/H8/B1221NCBA","H8/H8/B1027NCBA","H8/H8/B1220NCBA","H8/H8/B3219NCBA","H8/H8/B1215NCBA","H8/H8/B1216NCBA","H8/H8/B1217NCBA","H8/H8/B1218NCBA","H8/H8/B1029NCBA","H8/H8/B1247NCBA","H8/H8/B3248NCBA","H8/H8/B1243NCBA","H8/H8/B1245NCBA","H8/H8/B3305NCBA","H8/H8/B1030NCBA","H8/H8/B1310NCBA","H8/H8/B1043NCBA","H8/H8/B1048NCBA","H8/H8/B3092NCBA","H8/H8/B1047NCBA","H8/H8/B3053NCBA","H8/H8/B1151NCBA","H8/H8/B1058NCBA","H8/H8/B1072NCBA","H8/H8/B1110NCBA","H8/H8/B3094NCBA","H8/H8/B1100NCBA","H8/H8/B3095NCBA","H8/H8/B1152NCBA","H8/H8/B1091NCBA"
"Time Period","B1001NCBA","B1002NCBA","B1003NCBA","B1301NCBA","B1302NCBA","B1011NCBA","B1303NCBA","B1304NCBA","B1020NCBA","B1023NCBA","B1026NCBA","B1221NCBA","B1027NCBA","B1220NCBA","B3219NCBA","B1215NCBA","B1216NCBA","B1217NCBA","B1218NCBA","B1029NCBA","B1247NCBA","B3248NCBA","B1243NCBA","B1245NCBA","B3305NCBA","B1030NCBA","B1310NCBA","B1043NCBA","B1048NCBA","B3092NCBA","B1047NCBA","B3053NCBA","B1151NCBA","B1058NCBA","B1072NCBA","B1110NCBA","B3094NCBA","B1100NCBA","B3095NCBA","B1152NCBA","B1091NCBA"
2000-01-05,4513708.6,1143041.0,809389.6,,,333651.4,,,3370667.6,995348.9,1474326.0,,103785.9,,,,,,,510348.9,,,,,390643.8,,,,286634.3,,81521.4,469635.1,5555740.5,3466242.8,844389.6,,1360296.4,,379123.1,5345040.3,210700.3
2000-01-12,4529676.8,1148946.4,817136.2,,,331810.2,,,3380730.4,998884.5,1478259.5,,104699.6,,,,,,,509258.3,,,,,394328.1,,,,299184.2,,82476.4,471199.9,5584100.3,3472938.2,840262.7,,1381594.9,,377146.3,5367997.0,216103.3
2000-01-19,4543358.5,1147284.3,815857.8,,,331426.5,,,3396074.3,1002434.6,1486031.2,,105105.5,,,,,,,510270.9,,,,,397337.5,,,,289778.8,,80139.0,475845.3,5585805.9,3488688.9,836411.3,,1352571.7,,379300.5,5359310.7,226495.2
2000-01-26,4552980.6,1153399.8,823303.3,,,330096.5,,,3399580.7,1006007.5,1483434.8,,105629.6,,,,,,,511390.2,,,,,398748.2,,,,289134.9,,79283.9,474807.1,5603887.2,3489573.4,837762.5,,1355312.3,,383449.9,5374094.8,229792.4
2000-02-02,4551471.6,1143274.9,821834.4,,,321440.6,,,3408196.7,1016943.3,1480670.9,,105696.1,,,,,,,509447.5,,,,,401135.0,,,,282772.5,,77278.2,487949.4,5606724.5,3488972.4,838679.9,,1362224.2,,395992.6,5387620.5,219104.0
